Name,Ticker,Buy & Hold Return [%],Return [%],# Trades,Win Rate [%],Profit Factor,Sharpe Ratio,Start,End,Strategy
上揚,6222-TW,-44.75806451612904,-78.62626099999999,11,18.181818181818183,0.195482060878133,-0.3603953593828962,2003-01-09,2025-09-30,"B[1,7,59]S[1,7]"
濟生,4111-TW,23.57723577235771,-23.262829999999983,17,29.411764705882355,0.5494537656713947,-0.0791099466414862,2000-01-04,2025-09-30,"B[1,7,59]S[1,7]"
皇將,4744-TW,-22.05882352941176,-24.61918999999998,8,25.0,0.612718248399105,-0.1870315488456884,2018-07-12,2025-09-30,"B[1,7,59]S[1,7]"
虹光,2380-TW,-96.84662576687116,108.95293399999998,12,16.666666666666664,3.3296494648953354,0.1414763064358443,2000-01-04,2025-09-30,"B[1,7,59]S[1,7]"
佰研,3205-TW,286.8512110726644,107.72312499999988,10,20.0,4.7123067123102125,0.1631669371746086,2005-09-12,2025-09-30,"B[1,7,59]S[1,7]"
偉全,1465-TW,-30.423280423280417,-23.41335500000004,13,30.76923076923077,0.1672643711717928,-0.146893970909669,2000-01-04,2025-09-30,"B[1,7,59]S[1,7]"
欣技,6160-TW,-20.32374100719425,87.65507499999995,9,33.33333333333333,2.741149354501718,0.1293220717302567,2002-03-01,2025-09-30,"B[1,7,59]S[1,7]"
聯昌,2431-TW,-57.02875399361022,-13.687530999999984,14,35.714285714285715,0.9460672617670516,-0.0342544983286373,2000-01-04,2025-09-30,"B[1,7,59]S[1,7]"
光耀,3666-TW,-50.37735849056604,64.67841499999997,15,26.666666666666668,3.2336628626370465,0.1400187264796466,2014-12-04,2025-09-30,"B[1,7,59]S[1,7]"
匯僑,2904-TW,-2.499999999999996,1.9251899999999675,8,37.5,1.20503157193328,0.015686717433021,2000-01-04,2025-09-30,"B[1,7,59]S[1,7]"
旭然,4556-TW,-41.82692307692308,-38.62321,14,35.714285714285715,0.2670283626858714,-0.3462100220798611,2015-12-22,2025-09-30,"B[1,7,59]S[1,7]"
豪展,4735-TW,93.25842696629212,196.12400500000007,11,45.45454545454545,5.321490509613116,0.3432679638884174,2011-08-16,2025-09-30,"B[1,7,59]S[1,7]"
翔耀,2438-TW,-44.55555555555556,55.05575799999997,15,40.0,2.011148989431081,0.0715520749953505,2000-01-04,2025-09-30,"B[1,7,59]S[1,7]"
雙邦,6506-TW,-14.893617021276595,-59.06681500000003,16,18.75,0.1231267573917592,-0.426328620483899,2011-05-03,2025-09-30,"B[1,7,59]S[1,7]"
東捷資訊,6697-TW,4.066736183524496,33.42296000000001,1,100.0,10.0,0.2274120588638404,2019-12-26,2025-09-30,"B[1,7,59]S[1,7]"
天擎,6708-TW,-36.025848142164776,-17.963454999999982,2,50.0,0.0772405060428947,-0.3512079329699508,2022-12-29,2025-09-30,"B[1,7,59]S[1,7]"
研通,6229-TW,-52.135922330097095,81.31831499999998,13,53.84615384615385,2.549546489706623,0.1166421550315133,2003-01-14,2025-09-30,"B[1,7,59]S[1,7]"
綠電,8440-TW,-0.5859375000000083,261.3420449999999,6,50.0,8.126846614634662,0.4319270295844313,2018-03-28,2025-09-30,"B[1,7,59]S[1,7]"
長佳,4550-TW,-14.554794520547944,-1.2874400000000024,10,30.0,1.1193368810952335,-0.0068506508185752,2015-03-18,2025-09-30,"B[1,7,59]S[1,7]"
久威,6114-TW,173.66071428571428,-36.96944000000001,10,40.0,0.4081424400476032,-0.1029094241087962,2001-09-27,2025-09-30,"B[1,7,59]S[1,7]"
